label,text
ham,Hey are we still meeting for lunch tomorrow at noon?
spam,WINNER!! You have been selected to receive a FREE £1000 cash prize! Call 09061234567 now to claim!
ham,Can you pick up milk on your way home please
spam,URGENT! Your mobile number has won a 2 week FREE membership to our £100000 prize jackpot! Txt WORD to 80086 now
ham,"I'll be there in 10 minutes, traffic is bad"
spam,Congratulations! You've been selected for a free iPhone 15. Click here to claim your prize now!!!
ham,Mom said dinner is ready come downstairs
spam,FREE entry into our £250 weekly competition just text WIN to 80086 NOW. 18 T&Cs apply
ham,Did you finish the homework for tomorrow
spam,You have won a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service rep
ham,Let's watch a movie tonight if you're free
spam,SIX chances to win CASH! From 100 to 20000 pounds txt CSH11 and send to 87575
ham,Happy birthday hope you have a great day
spam,URGENT! We are trying to contact you. Last weekends draw shows you won a £900 prize GUARANTEED
ham,"Sorry I missed your call, what's up?"
spam,Reply to win £100 weekly! Where will you be on 03/09/2003? Text WHERE to 80086 to find out
ham,"Thanks for helping me move yesterday, really appreciate it"
spam,This is the 2nd time we have tried to contact you. You have won the £750 Pound prize. Claim now
ham,Are you coming to the gym later
spam,Free msg: text BACK to 89123 for a chance to win 100 free text messages and prizes
ham,Can you send me the notes from class today
spam,Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now
ham,I think I left my charger at your place
spam,"You have been specially selected to receive a 4000 prize pin. To claim is easy, just call 087147123779"
ham,What time does the store close on Sundays
spam,FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone!
ham,Don't forget to bring your umbrella it might rain
spam,U have a secret admirer who is looking 2 make contact w U! Find out who they are. Call 09058098002
ham,Let's grab coffee before the meeting starts
spam,WIN a year supply of CDs 4 a mate of yours. PMIN to 86888
ham,Can we reschedule our call to 3pm instead
spam,New mobiles 2004 must go! Txt NOKIA to 89545 4 a chance 2 WIN a NOKIA mobile or 250 cash
ham,Hope your exam went well today
spam,Customer Loyalty Offer: The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION!
ham,"I'm running a bit late, leaving now"
spam,Want 2 get laid tonight? Want real dogging locations sent direct 2 ur mobile? text WAP
ham,"That sounds great, see you then"
spam,Your account has been credited with 500 free text messages. To activate just call 08719180248
ham,Did the package arrive yet
spam,FreeMsg: Claim your reward of a free harry potter ringtone or musictune just reply HARRY
ham,Thanks for the birthday wishes everyone
spam,Bored housewives! Chat n date now. 0871750.77.11
ham,Can you call me back when you get a chance
spam,IMPORTANT INFORMATION 4 ORANGE USER. Today is your lucky day! 2 find out why log onto http://www.urawinner.com
ham,Let's catch up this weekend if you're around
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? Reply
ham,I'll send you the file once I'm done editing it
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618
ham,Don't worry about the bill I already paid it
spam,Money i have won wining number 946 wot do i do next
ham,Are we still on for dinner tonight
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEE
ham,"I just got home, traffic was terrible"
spam,Final notice: collect your reward of £500 voucher now. Reply YES to claim
ham,Can you proofread my essay before I submit it
spam,Click here to verify your bank account or it will be suspended within 24 hours
ham,See you at the usual spot at 7
spam,You are a winner you have been specially selected to receive £2000 cash or a luxury 4* holiday
ham,Good morning hope you slept well
spam,Get a brand new mobile phone by being an agent. Click on apply now and apply within 5 minutes
ham,Let me know if you need help with the move
spam,XXXMobileMovieClub: To use your credit click WAP link in next txt message
ham,I'll be home by 6 today
spam,URGENT! Your Mobile No was awarded £2000 Bonus Caller Prize on 1/08/03! This is 2nd attempt to reach YOU
ham,Want to grab pizza tonight
spam,"Hi, I'm sue. I am 25 years old and work as a lapdancer. I love sex. Text me"
ham,Can you watch my dog this weekend
spam,"Double mins and txts 4 6 months FREE Bluetooth on Orange. Available on Sony, Nokia, Motorola phones"
ham,Let's plan the trip for next month
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077
ham,Did you remember to lock the door
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused?"
ham,"Talk to you tomorrow, good night"
spam,U have a secret admirer. REVEAL who thinks U R so special. Call 09065174042
ham,Can you send the address again I forgot it
spam,YOU HAVE WON! As a valued customer you have been selected to receive £150 reward
ham,"Thanks for dinner last night, it was great"
spam,Want 2 get laid tonight? Want real dogging locations sent direct 2 ur mobile?
ham,I'll meet you at the train station at 5
spam,FREE2DAY sexy St George's Day pic of Jordan! Txt PIC to 89080
ham,Is the meeting still happening at 2pm
spam,This is the 2nd attempt to contact U. U have won this weeks top prize of either £1000 cash
ham,Can you grab some bread on your way back
spam,Natalie (20/F) is inviting you to be her friend. Reply YES or NO to chat
ham,"I sent you the document, let me know if you got it"
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed points. Call 08718738001
ham,We should plan a hiking trip soon
spam,Win a £1000 cash prize or a prize worth £5000. Text MUSIC to 87066
ham,Let's split the bill evenly
spam,Free entry to the £100 weekly competition. Just text the word WIN to 80086 now
ham,"I'm almost at your place, two minutes away"
spam,You have 1 new voicemail. Please call 08719181503 to listen to your message
ham,Can we move our call to tomorrow morning
spam,Urgent! call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await
ham,I'll bring snacks for the movie night
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia
ham,Did you finish packing for the trip
spam,No 1 POLYPHONIC tone 4 ur mob every week just txt POLY to 87131
ham,Let's meet at the coffee shop near downtown
spam,Cashbin.co.uk Get lots of cash this weekend! www.cashbin.co.uk Dear Welcome to the weekend
ham,I'll text you when I land
spam,Knock Knock txt whose there to 80082 to enter R u against me
ham,Can you check if the flight is on time
spam,FreeMsg Hey there darling it's been 3 weeks now and no word back. I'd like some fun text back
ham,Let's order takeout tonight
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
ham,I'll call you back after my meeting
spam,Free message activate your 500 free text messages by replying to this message with the word FREE
ham,Are you free this Saturday afternoon
spam,Reminder: you have not downloaded the content you have already paid for. Goto http://doit. mymoby.tv
ham,The weather looks nice for the weekend
spam,RECPT 1/3. You have ordered a Ringtone. Your order is being processed
ham,Let's go for a run this evening
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEE call 09064017295
ham,Can you send me your address for the package
